Cluster ID,confidence_score,ID,Has Duplicate,dup_of,Title,Title (Original Script),Author,Author (Original Script),Format,Language,Published/Created,Date,Description,Series,Library,Location,Call Number,Notes,Edition
85,1.0,'SCSB-2445556',FALSE,,A cheerful ascetic and other essays,,"Daly, James J. (James Jeremiah), 1872-1953",,Book,English,New York [etc.]: The Bruce publishing company,1931,147 pages ; 22 cm.,Science and culture series.,ReCAP,Remote Storage,812D177 P,"""Second printing.""",
102,1.0,'SCSB-13638020',FALSE,,A meeting with Roland Coryn : choral music for mixed choir a cappella on English poems,,"Coryn, Roland",,Audio,English,"Beveren, Belgium: Phaedra",2014,1 audio disc : digital ; 4 3/4 in.,In Flanders' fields ; v. 81.; In Flanders' fields ; 81,ReCAP,Remote Storage,CD26451,"Compact disc.; Program and biographical references in Dutch, English, French, and German and texts (42 p. : ports.) inserted in container.",
51,1.0,'SCSB-12459219',FALSE,,A terrible beauty : poetry of 1916,,,,Book,English; Irish,"Dublin, Ireland: O'Brien Press Ltd",2015,160 pages : illustrations ; 21 cm,,ReCAP,Remote Storage,PR8858 .T47 2015,Includes index.,
53,1.0,'SCSB-2492705',FALSE,,Anthology of Catholic poets,,"Kilmer, Joyce, 1886-1918",,Book,English,"Garden City, N.Y.: Image Books",1955,398 pages ; 19 cm,,ReCAP,Remote Storage,825.11 K5581,"First published in 1917 under title: Dreams and images.; ""Doubleday Image book ; D15.""",
137,1.0,'9923482773506421',FALSE,,"Catalogue of first editions of esteemed authors : prepublications of their works in proof and page form. Original manuscripts, association books. Inclusive manuscripts of Christopher Morley [some never printed]. William McFee. Rare pamphlets mostly inscribed: by Cabell, Chesterton, Conrad, Coolidge, Fitzgerald, O'Henry, Hergesheimer, Huxley, Hudson, Joyce Kilmer, Lawrence, Newton, Tomlinson, Wilder and others. The property of Christopher Morley, Esq., of Roslyn, L.I. Sold by his order. Inclusive, additions from the library of a friend (arranged in a separate alphabet) consisting of choice modern press books, first editions, inclusive, the rare William Andrew Clark catalogue series, original drawings by Beardsley, original manuscript of a playlet by G. Bernard Shaw",,"Morley, Christopher, 1890-1957",,Book,English,New York: Union Square Book Shop,1930,31 p. ; 27 cm.,,Special Collections,Rare Books,Z999 .xU5,"At head of title: Auction sale number 3, 1930. Day of sale Tuesday, September 30th, 1930 2 o'clock P.M. On public exhibition from Thursday, September 25th.; Title page within 3 compartments each surrounded by single heavy black rule.; Priced catalog.",
56,1.0,'9922877073506421',FALSE,,Complete poetry,,"Hoffenstein, Samuel, 1889-1947",,Book,English,New York: Modern Library,1954,373 pages 19 cm.,Modern library of the world's best books,ReCAP,Remote Storage,PS3515 .O227 1954,,
67,1.0,'SCSB-8204273',FALSE,,Dreams and images; an anthology of Catholic poets,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: Boni and Liveright,1926,14 p.,,ReCAP,Remote Storage,"NCI (Kilmer, J. Dreams and images. 1926)",,
116,1.0,'SCSB-8204267',FALSE,,Dreams and images; an anthology of Catholic poets,,"Kilmer, Joyce, 1886-1918",,Book,English,New York: Boni and Liveright,1917,"xvii, 286 p. 19 cm.",,ReCAP,Remote Storage,"NCI (Kilmer, J. Dreams and images. 1917)",Reprinted in part from various sources.,
16,0.5654297,'99125448757506421',FALSE,,Dreams and Images: An Anthology of Catholic Poets,,"Kilmer, Joyce 1886-1918",,Book,English,Project Gutenberg,2021,,,,,,,
138,1.0,'994704723506421',FALSE,,Ellen Glasgow's reasonable doubts : a collection of her writings,,"Glasgow, Ellen, 1873-1945",,Book,English,Baton Rouge: Louisiana State University Press,1988,"xix, 262 p. : port. ; 24 cm.",Southern literary studies,Forrestal Annex,A,PS3513.L34 A6 1988,Includes index.,
